product_id,name,category,subcategory,price_inr,supplier_name,supplier_city,supplier_state,supplier_country,verified_supplier,supplier_rating,supplier_reviews,min_order_qty,years_in_business,keywords,scraped_at,data_source
PROD-0001,Standard CNC Machine,Industrial Machinery,CNC Machine,203450.0,Prabhakar and Sons,Nagpur,Maharashtra,India,True,3.2,59,303,14,ISO certified|RoHS compliant,2026-03-13T15:52:11.422138,synthetic
PROD-0002,Standard Hydraulic Press,Industrial Machinery,Hydraulic Press,198880.0,Purohit-Tripathi,Delhi,Delhi,India,False,4.4,14,143,1,RoHS compliant|heavy duty,2026-03-13T15:52:11.422207,synthetic
PROD-0003,Heavy Duty Lathe Machine,Industrial Machinery,Lathe Machine,385677.0,"Shenoy, Sahota and Magar",Rajkot,Gujarat,India,True,3.8,12,136,2,food grade|eco friendly,2026-03-13T15:52:11.422259,synthetic
PROD-0004,Heavy Duty CNC Machine,Industrial Machinery,CNC Machine,1421432.0,Chokshi-Gupta,Coimbatore,Tamil Nadu,India,False,4.2,116,361,3,ISO certified|GMP certified,2026-03-13T15:52:11.422687,synthetic
PROD-0005,Export Grade Compressor,Industrial Machinery,Compressor,1125537.0,Rai-Grewal,Ahmedabad,Gujarat,India,False,3.7,14,137,23,GMP certified|RoHS compliant,2026-03-13T15:52:11.422765,synthetic
PROD-0006,Standard Welding Equipment,Industrial Machinery,Welding Equipment,744158.0,Bhattacharyya-Wable,Delhi,Delhi,India,True,3.8,29,432,25,RoHS compliant|ISO certified,2026-03-13T15:52:11.422819,synthetic
PROD-0007,Premium CNC Machine,Industrial Machinery,CNC Machine,1005981.0,Solanki LLC,Ahmedabad,Gujarat,India,True,4.9,62,336,16,BIS approved|GMP certified,2026-03-13T15:52:11.422877,synthetic
PROD-0008,Heavy Duty Hydraulic Press,Industrial Machinery,Hydraulic Press,325802.0,"Chaudhari, Anand and Doctor",Lucknow,Uttar Pradesh,India,False,3.9,26,71,17,eco friendly|export quality,2026-03-13T15:52:11.422932,synthetic
PROD-0009,Standard CNC Machine,Industrial Machinery,CNC Machine,897493.0,Yadav and Sons,Ludhiana,Punjab,India,False,3.8,4,240,17,organic|high grade,2026-03-13T15:52:11.422981,synthetic
PROD-0010,Heavy Duty CNC Machine,Industrial Machinery,CNC Machine,661191.0,Yohannan-Dhaliwal,Indore,Madhya Pradesh,India,False,3.7,12,2,24,food grade|organic,2026-03-13T15:52:11.423026,synthetic
